timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,wue
2025-11-13T10:12:24,tbar_fijo,4efb1ebd-9806-4dfe-8d53-277065d9ffd5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.874703800000134,4.552038730623451e-06,2.4281375706514948e-06,4.5000010935,19.455643485455564,10.0,1.7124180736173182e-06,1.0120563651999984e-05,3.8036910805557353e-06,1.5636672806173036e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:12:31,tbar_fijo,790209c6-7ffc-4711-8050-d0e0dbdc3933,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9335905000007187,4.924936739977266e-06,2.547042271864408e-06,4.500000000000002,20.782698942253724,10.0,1.7891069699999213e-06,1.1155008923999991e-05,3.973495961112247e-06,1.691761185511216e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:12:38,tbar_fijo,2af0e83e-89c7-417a-ae05-48167aaadb72,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9059283610004056,4.672789566552413e-06,2.451713119007109e-06,4.500236196,19.65706616696854,10.0,1.7545474928557968e-06,1.039973054199996e-05,3.897185027777697e-06,1.6051463062633454e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:12:44,tbar_fijo,92237368-4543-41de-9bb0-968326c54131,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9101210120006729,4.947693116273553e-06,2.590251133404008e-06,4.5000050625,21.38416576361308,10.0,1.7578300950574535e-06,1.1333342400000044e-05,3.904609611112796e-06,1.6995782106170293e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:12:51,tbar_fijo,8ea02ec6-5828-4cce-b704-4f903497c3e6,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9088497000002465,4.558423189519998e-06,2.38804720430289e-06,4.5000050625,18.87842448886649,10.0,1.7553621747800383e-06,1.0003896891999978e-05,3.899344944445855e-06,1.5658604011225874e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:12:58,tbar_fijo,13b7a7c6-40fd-47df-aa1c-f4cdc397f3c0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.066726565999488,5.057476917274719e-06,2.4470953247890707e-06,4.500099488250001,19.30112104641529,10.0,1.9557237496615406e-06,1.107361997000004e-05,4.343555866666469e-06,1.7372899586328053e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:05,tbar_fijo,99de83fb-7718-46e4-ba48-171acdb5707e,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9312482060004184,4.726584071732424e-06,2.447424446555784e-06,4.500020736000001,19.56897087115221,10.0,1.7852323738126475e-06,1.0485841722000116e-05,3.965178052777042e-06,1.6236252148589807e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:12,tbar_fijo,98ed516a-393c-43cd-8545-d6a6d1061b8a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.9561564780005936,5.023445675134002e-06,2.568018321452747e-06,4.5000010935,21.020514814519323,10.0,1.815246543604744e-06,1.1408342459999996e-05,4.032410127777237e-06,1.725599913138198e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:19,tbar_fijo,d2a2862c-9330-4bd5-80f3-05b3033062a3,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.8528553619999,4.769355162014684e-06,2.574056917679115e-06,4.500236196,21.30363719533634,10.0,1.6862381876250398e-06,1.0951675428000026e-05,3.745261172222551e-06,1.6383174787847616e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
2025-11-13T10:13:25,tbar_fijo,62da9d96-5ecd-4850-ab3e-a6da6b287c2a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,1.895363528999951,4.623623484866276e-06,2.4394388802584136e-06,4.5004312440000005,19.55194122492032,10.0,1.7388452322988533e-06,1.028167489199993e-05,3.862052913890086e-06,1.588257303818887e-05,0.0,Chile,CHL,santiago metropolitan,,,Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.39,3.12.3,3.0.8,8,Intel(R) Core(TM) i5-10300H CPU @ 2.50GHz,1,1 x NVIDIA GeForce GTX 1660 Ti with Max-Q Design,-70.6536,-33.4521,3.715057373046875,machine,N,1.0,0.0
